Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Noah Dobson,NYI,D,77,13,34,47,3,20,203,2,5,13,0,0,60,98
Yegor Sharangovich,NJ,LW,73,13,16,29,-5,16,128,2,0,0,2,2,21,40
Arthur Kaliyev,LA,RW,55,13,15,28,-4,12,120,1,8,4,0,0,40,10
Paul Cotter,VGK,C,55,13,5,18,-5,15,76,1,0,0,0,0,168,17
Christian Fischer,ARI,RW,79,13,14,27,-8,20,122,0,0,1,1,0,126,37
Ilya Mikheyev,VAN,RW,46,13,15,28,3,2,91,2,1,2,0,0,13,14
Nic Dowd,WAS,C,65,13,12,25,6,26,62,3,0,0,0,1,136,61
Andre Burakovsky,SEA,LW,49,13,26,39,-9,14,105,3,4,10,0,0,17,15
Alexander Wennberg,SEA,C,80,13,24,37,-6,20,100,3,4,5,0,0,42,63
Warren Foegele,EDM,LW,65,13,14,27,6,26,122,4,0,0,1,0,95,21
Nick Ritchie,CGY,LW,74,13,13,26,-21,53,120,2,4,6,0,0,218,32
Derek Ryan,EDM,C,78,13,6,19,9,28,90,0,0,0,2,0,54,42
Noel Acciari,TOR,C,75,13,8,21,-6,19,98,1,0,0,0,2,242,77
Gustav Forsling,FLA,D,81,13,28,41,22,40,207,3,1,4,0,2,68,106
Jeff Carter,PIT,C,77,13,16,29,-16,28,137,2,4,5,0,1,80,51
Derick Brassard,OTT,C,62,13,10,23,3,30,92,4,5,5,0,0,90,10
Jean-Gabriel Pageau,NYI,C,69,13,26,39,-3,12,119,2,5,3,3,1,174,60
Tyson Barrie,NSH,D,83,13,41,54,-7,36,161,1,4,27,0,0,55,89
Yanni Gourde,SEA,LW,79,13,34,47,24,72,139,2,3,1,1,0,112,53
Teuvo Teravainen,CAR,C,66,12,25,37,9,16,140,2,5,6,2,1,14,17
Brock McGinn,ANH,LW,75,12,7,19,-6,21,91,3,0,0,2,0,84,43
Colton Sissons,NSH,RW,80,12,16,28,-1,20,83,1,0,1,1,0,161,69
Jordan Martinook,CAR,LW,80,12,21,33,6,59,159,2,0,0,1,1,76,31
Shayne Gostisbehere,CAR,D,73,12,26,38,-7,30,153,1,5,10,2,0,46,85
Seth Jones,CHI,D,70,12,23,35,-38,30,173,1,2,9,0,1,102,123
Erik Haula,NJ,C,79,12,27,39,11,47,160,0,2,5,2,1,92,54
Matt Nieto,COL,LW,78,12,12,24,-15,14,113,2,0,1,0,0,42,32
Stefan Noesen,CAR,C,76,12,23,35,11,30,132,4,7,8,0,0,98,18
Adam Lowry,WPG,LW,80,12,23,35,5,41,122,2,0,2,3,2,159,46
Corey Perry,TB,RW,79,12,13,25,-28,90,115,3,6,6,0,0,48,23
Evgeny Kuznetsov,WAS,C,79,12,43,55,-24,56,170,2,5,13,0,0,42,29
Ryan Johansen,NSH,C,55,12,16,28,-13,32,86,1,5,5,0,0,49,19
Sam Lafferty,TOR,RW,70,12,15,27,-11,37,102,1,0,0,4,1,125,33
Darnell Nurse,EDM,D,80,12,31,43,23,64,200,4,0,1,2,1,140,157
Garnet Hathaway,BOS,RW,82,12,9,21,5,69,87,3,0,0,0,1,266,82
Nikolaj Ehlers,WPG,LW,44,12,26,38,-2,11,131,0,3,9,0,0,34,8
Carl Grundstrom,LA,LW,56,12,7,19,-4,16,88,2,1,0,0,0,142,16
Adam Fox,NYR,D,81,12,59,71,28,34,158,5,1,27,0,3,25,123
Denis Malgin,COL,C,63,12,8,20,3,8,108,1,0,1,0,0,65,18
Mason Marchment,DAL,LW,67,12,19,31,-6,80,148,2,2,3,0,0,88,39
Jack McBain,ARI,C,81,12,13,25,-10,64,83,2,0,0,0,0,299,50
Anton Lundell,FLA,C,72,12,21,33,2,43,150,1,0,5,2,0,29,32
John-Jason Peterka,BUF,RW,74,12,20,32,-14,24,122,1,2,3,0,0,18,10
Noah Cates,PHI,LW,80,12,24,36,4,12,99,5,2,4,1,1,86,65
Eric Robinson,CLS,LW,72,12,12,24,-21,6,98,1,0,0,0,2,124,32
Sheldon Dries,VAN,C,61,11,6,17,-10,29,90,0,4,1,1,0,81,40
Miro Heiskanen,DAL,D,77,11,60,71,10,32,203,2,2,31,0,1,49,96
Klim Kostin,EDM,RW,55,11,10,21,12,62,56,2,0,0,0,0,152,15
Matias Maccelli,ARI,LW,63,11,37,48,2,18,61,1,1,12,0,0,23,19
Ryan McLeod,EDM,C,55,11,11,22,3,16,73,0,0,0,2,1,38,20
Blake Lizotte,LA,LW,80,11,23,34,12,60,108,1,0,0,0,2,95,39
Ryan Lomberg,FLA,LW,81,11,8,19,-1,86,131,1,0,0,0,0,144,21
Jack Roslovic,CLS,RW,74,11,33,44,-12,10,117,2,2,7,2,1,40,53
Thomas Chabot,OTT,D,68,11,30,41,-11,52,165,0,5,15,0,0,79,123
Rasmus Andersson,CGY,D,78,11,38,49,5,26,159,4,1,20,1,1,49,135
Yakov Trenin,NSH,C,75,11,11,22,-4,45,137,2,0,1,2,0,166,29
Anthony Cirelli,TB,C,56,11,17,28,11,33,109,1,1,1,2,0,33,44
Barclay Goodrow,NYR,LW,81,11,20,31,3,58,89,2,1,1,0,1,122,64
Nikita Zadorov,CGY,D,81,11,7,18,7,80,125,1,0,1,0,0,172,75
Anthony Mantha,WAS,RW,67,11,16,27,-8,31,119,2,1,1,0,0,68,24
Miles Wood,NJ,LW,74,11,13,24,-1,76,160,1,1,1,0,0,100,17
Sonny Milano,WAS,LW,62,11,21,32,-5,18,80,3,1,4,0,0,39,14
Tony DeAngelo,PHI,D,70,11,31,42,-27,73,174,1,4,15,0,0,52,79
Dakota Joshua,VAN,LW,77,11,12,23,-14,60,69,2,1,0,1,0,220,29
Justin Faulk,STL,D,80,11,38,49,-2,34,194,3,2,7,0,0,111,134
Kyle Okposo,BUF,RW,72,11,16,27,-7,32,144,3,1,3,1,0,77,24
Kris Letang,PIT,D,62,11,28,39,-10,30,154,3,5,14,1,0,157,105
James van Riemsdyk,PHI,LW,59,11,17,28,-3,26,112,1,2,2,0,0,18,20
Alex Pietrangelo,VGK,D,71,11,42,53,9,12,170,3,1,12,0,2,64,172
Jared Spurgeon,MIN,D,78,11,23,34,32,14,147,3,1,3,0,1,66,179
Tyler Johnson,CHI,C,54,11,19,30,-21,16,120,0,4,5,0,0,48,24
Gustav Nyquist,MIN,RW,50,11,14,25,-10,16,99,2,0,1,2,0,41,30
Jimmy Vesey,NYR,LW,80,11,14,25,13,20,123,4,0,0,1,0,97,40
Tom Wilson,WAS,RW,31,11,9,20,-14,76,72,1,3,1,0,0,94,27
Radek Faksa,DAL,C,79,11,9,20,9,37,86,3,0,0,1,1,87,69
Zemgus Girgensons,BUF,C,77,10,7,17,-5,14,109,0,0,1,0,0,95,48
Hampus Lindholm,BOS,D,78,10,43,53,48,54,154,2,1,16,0,0,77,97
Oskar Sundqvist,MIN,C,67,10,18,28,-4,28,69,0,3,5,0,0,63,28
Alex Kerfoot,TOR,C,80,10,22,32,6,30,130,1,2,1,1,1,53,46
John Klingberg,MIN,D,65,10,22,32,-23,34,109,3,2,7,0,0,55,81
Jakob Silfverberg,ANH,RW,79,10,16,26,-19,30,136,2,4,3,0,0,10,50
Sean Kuraly,CLS,C,68,10,8,18,-29,68,93,0,0,0,1,1,182,44
Lars Eller,COL,C,81,10,11,21,0,46,133,1,0,0,1,0,93,42
Nick Foligno,BOS,LW,60,10,16,26,18,45,71,1,2,3,0,0,147,29
Andrew Cogliano,COL,LW,77,10,9,19,7,44,85,0,0,0,0,2,55,54
Cam Fowler,ANH,D,80,10,36,46,-22,14,128,1,4,9,0,0,17,101
Mikael Granlund,PIT,C,77,10,31,41,-14,18,116,1,1,11,0,0,77,59
Nick Bonino,PIT,C,62,10,9,19,-5,28,91,0,0,1,0,0,19,79
Jakub Vrana,STL,RW,23,10,5,15,4,10,60,2,3,0,0,0,13,5
Christian Dvorak,MON,LW,64,10,18,28,-12,6,88,1,0,3,1,0,13,66
Sam Steel,MIN,C,64,10,18,28,11,18,84,2,0,3,1,0,46,15
Bowen Byram,COL,D,39,10,13,23,5,34,63,1,2,4,1,0,76,48
Zach Aston-Reese,TOR,C,75,10,4,14,-5,25,89,2,0,0,0,0,159,42
Neal Pionk,WPG,D,80,10,22,32,-11,37,140,2,1,2,0,1,168,124
Michael Rasmussen,DET,C,56,10,19,29,2,43,88,0,0,1,0,0,119,48
Kailer Yamamoto,EDM,LW,56,10,14,24,11,24,92,3,0,0,1,1,74,24
Alexei Toropchenko,STL,RW,67,10,9,19,6,12,84,0,0,0,1,0,118,43
Max Comtois,ANH,LW,64,9,10,19,-20,76,89,0,0,2,0,0,81,27
Morgan Geekie,SEA,C,68,9,18,27,14,24,77,3,1,0,0,0,53,32
Ty Dellandrea,DAL,C,80,9,19,28,9,52,88,2,0,0,0,3,122,39
K'Andre Miller,NYR,D,78,9,34,43,13,37,112,2,0,3,0,2,162,102
Jesper Boqvist,NJ,C,68,9,10,19,5,2,65,2,0,0,0,0,46,20
Trevor Moore,LA,LW,58,9,19,28,-3,12,159,1,2,5,1,1,60,23
Logan O'Connor,COL,C,79,9,17,26,12,37,100,0,0,0,2,1,115,46
Joe Veleno,DET,C,79,9,10,19,-10,30,83,1,1,3,0,0,147,43
Sean Durzi,LA,D,71,9,29,38,-12,48,108,1,1,15,0,0,68,141
Philipp Kurashev,CHI,LW,70,9,16,25,-32,14,116,2,0,4,0,0,38,34
Julien Gauthier,OTT,RW,56,9,5,14,-6,6,53,0,0,0,0,0,102,12
Mikhail Sergachev,TB,D,77,9,51,60,10,53,149,2,3,23,0,1,122,148
Jakob Chychrun,OTT,D,48,9,24,33,7,30,144,0,4,4,0,0,55,83
Brandon Duhaime,MIN,LW,49,9,1,10,7,42,76,3,0,0,1,0,137,17
Wade Allison,PHI,RW,58,9,6,15,-2,36,86,2,0,0,0,0,182,60
Filip Hronek,VAN,D,64,9,30,39,7,34,124,1,4,12,0,0,102,58
Steven Lorentz,SJ,C,78,9,8,17,-16,16,108,0,0,0,1,1,128,46
Matt Roy,LA,D,81,9,15,24,7,22,135,2,0,0,1,1,118,152
Jake Walman,DET,D,61,9,9,18,12,45,136,2,0,2,0,0,45,120
Sammy Blais,STL,LW,69,9,16,25,4,24,69,1,0,1,0,0,228,31
Jason Dickinson,CHI,C,76,9,20,29,-28,28,111,1,1,0,0,4,111,77
Andrew Copp,DET,C,80,9,33,42,4,23,115,2,1,4,1,0,31,43
Hudson Fasching,NYI,RW,48,9,9,18,9,10,60,1,0,1,0,0,44,21
Victor Hedman,TB,D,75,9,40,49,10,42,180,1,1,13,1,2,93,135
Austin Watson,OTT,LW,75,9,2,11,-7,123,79,2,0,0,3,0,165,61
Paul Stastny,CAR,C,71,9,13,22,2,16,80,3,2,2,0,0,21,17
Trevor Lewis,CGY,C,81,9,11,20,-7,18,143,1,1,0,1,0,156,31
Drew Doughty,LA,D,80,9,41,50,13,34,144,2,4,21,0,0,113,104
John Carlson,WAS,D,38,9,19,28,-3,10,120,0,3,8,1,0,40,83
Nick Cousins,FLA,C,78,9,18,27,-1,38,102,2,0,0,0,0,87,36
Jamie Oleksiak,SEA,D,73,9,16,25,14,62,72,2,0,0,0,0,121,110
Jesper Fast,CAR,RW,78,9,18,27,8,16,74,1,0,0,0,3,102,38
Brendan Gallagher,MON,RW,35,8,6,14,-4,39,84,2,0,2,0,0,18,12
Adam Larsson,SEA,D,80,8,25,33,29,45,141,2,0,0,1,0,217,170
Mattias Ekholm,EDM,D,76,8,22,30,25,28,131,0,0,4,0,1,89,104
Vladislav Namestnikov,WPG,C,75,8,17,25,5,31,106,0,1,2,0,0,106,37
Craig Smith,WAS,RW,62,8,7,15,5,18,95,2,0,1,0,0,47,20
Brett Ritchie,ARI,RW,49,8,5,13,-1,25,68,0,0,1,0,0,77,9
Esa Lindell,DAL,D,80,8,16,24,29,10,113,2,0,0,0,2,85,147
Ondrej Palat,NJ,LW,48,8,15,23,5,4,76,1,1,2,0,0,70,43
Jacob Trouba,NYR,D,81,8,22,30,7,63,198,2,2,3,1,1,217,190
Mike Matheson,MON,D,46,8,26,34,7,33,121,2,0,9,0,2,52,75
Josh Bailey,NYI,LW,63,8,17,25,3,2,72,2,0,3,0,0,11,29
Sam Gagner,WPG,C,48,8,6,14,-4,13,78,2,1,2,0,0,16,14
Tyler Motte,NYR,C,61,8,11,19,3,6,107,1,0,0,1,0,118,59
Ryan Graves,NJ,D,77,8,18,26,32,26,139,2,0,0,0,2,82,148
Mattias Janmark,EDM,C,64,8,15,23,8,30,75,1,0,0,2,1,19,25
Shea Theodore,VGK,D,54,8,33,41,17,18,134,2,2,7,0,0,16,84
Adam Erne,DET,RW,60,8,10,18,-11,21,53,2,0,0,0,1,160,53
Keegan Kolesar,VGK,RW,72,8,10,18,6,68,61,0,0,0,0,0,269,30
Evgeny Svechnikov,SJ,LW,57,8,6,14,-5,26,64,0,0,0,0,0,98,19
Colin White,FLA,C,67,8,7,15,0,12,64,0,0,0,0,0,61,29
Max Jones,ANH,LW,67,8,10,18,-21,63,100,2,0,0,0,0,110,17
Joel Kiviranta,DAL,RW,68,8,1,9,-9,36,84,0,0,0,1,0,116,19
Peyton Krebs,BUF,C,71,8,17,25,-10,48,75,0,1,2,1,0,89,20
Cole Perfetti,WPG,LW,51,8,22,30,10,16,90,0,1,4,0,0,35,22
Noah Gregor,SJ,C,55,8,7,15,-11,32,111,1,0,0,0,1,94,32
Calle Rosen,STL,D,47,8,10,18,21,8,61,2,0,0,0,0,15,49
Morgan Barron,WPG,LW,68,8,11,19,3,31,109,2,0,1,1,1,117,42
Mason Shaw,MIN,C,59,7,10,17,-1,79,92,0,0,0,0,2,87,27
Quinn Hughes,VAN,D,76,7,66,73,13,32,153,0,2,31,0,1,28,70
Oliver Wahlstrom,NYI,RW,35,7,9,16,5,32,70,1,1,0,0,0,50,15
Mark Kastelic,OTT,C,64,7,4,11,-6,102,69,2,0,0,0,0,147,37
David Kampf,TOR,RW,80,7,19,26,6,8,106,1,0,0,0,3,74,27
Jaret Anderson-Dolan,LA,C,46,7,5,12,-11,2,54,2,0,1,0,0,61,29
Ryan Poehling,PIT,C,51,7,7,14,-1,8,60,0,0,0,2,1,56,40
Lukas Reichel,CHI,RW,23,7,8,15,-8,6,42,0,0,3,0,0,7,15
Janis Moser,ARI,D,81,7,24,31,-13,35,92,1,3,8,0,0,80,134
Pavel Dorofeyev,VGK,LW,16,7,2,9,5,4,38,3,2,1,0,0,3,6
Walker Duehr,CGY,RW,27,7,4,11,0,4,47,2,0,0,0,0,55,4
Charlie McAvoy,BOS,D,65,7,43,50,27,54,102,2,2,17,0,0,84,131
Tyson Jost,BUF,C,70,7,18,25,-11,34,96,0,0,0,0,0,60,32
Tyler Bertuzzi,BOS,LW,48,7,21,28,-9,29,105,0,3,6,0,0,52,21
Trevor van Riemsdyk,WAS,D,75,7,16,23,10,15,97,0,0,1,0,0,21,160
Noah Hanifin,CGY,D,80,7,31,38,2,33,172,0,1,7,0,1,76,127
Denis Gurianov,MON,RW,64,7,10,17,-9,10,111,0,1,2,0,0,42,25
Danton Heinen,PIT,C,63,7,14,21,-5,12,91,0,1,1,0,0,73,25
Travis Sanheim,PHI,D,79,7,15,22,-7,40,110,1,0,1,1,0,60,134
Robby Fabbri,DET,LW,28,7,9,16,-1,22,35,3,3,5,0,0,49,15
Milan Lucic,CGY,LW,76,7,12,19,-13,41,72,0,0,0,0,0,168,15
Nicklas Backstrom,WAS,C,37,7,13,20,-23,14,58,0,6,5,0,0,23,22
Tyler Pitlick,STL,C,60,7,9,16,-1,14,54,0,0,0,0,0,103,29
Evgenii Dadonov,DAL,RW,71,7,24,31,-10,16,102,0,0,7,0,0,33,41
Matt Martin,NYI,LW,80,7,12,19,4,63,82,1,0,0,0,0,292,42
Marcus Foligno,MIN,LW,63,7,13,20,-8,87,80,0,0,3,0,0,230,40
Justin Schultz,SEA,D,72,7,27,34,5,40,97,4,1,12,0,0,30,71
Damon Severson,NJ,D,79,7,24,31,7,38,101,2,1,3,1,0,44,109
Erik Gustafsson,TOR,D,70,7,35,42,9,23,122,2,0,14,0,0,52,63
Jaccob Slavin,CAR,D,74,7,19,26,13,8,129,1,0,0,0,1,36,102
Nate Schmidt,WPG,D,70,7,11,18,14,8,99,0,3,2,0,0,44,82
Torey Krug,STL,D,61,7,25,32,-25,47,122,1,4,10,0,0,38,83
Joel Armia,MON,RW,41,7,7,14,-6,22,67,0,0,1,1,0,36,24
Connor Murphy,CHI,D,78,6,5,11,-11,69,80,0,0,0,2,0,160,153
Nicolas Deslauriers,PHI,LW,78,6,6,12,-11,136,68,0,0,0,1,0,297,25
Dmitry Orlov,BOS,D,64,6,28,34,8,18,118,2,1,7,0,1,136,81
Alex Chiasson,DET,RW,18,6,3,9,-5,6,24,0,5,2,0,0,12,7
Josh Archibald,PIT,RW,61,6,5,11,6,43,70,0,0,0,0,0,192,28
Scott Mayfield,NYI,D,81,6,17,23,6,83,113,1,0,0,0,0,107,168
Sean Monahan,MON,C,25,6,11,17,-5,16,55,0,1,3,0,0,10,8
Alex Belzile,MON,LW,31,6,8,14,0,13,40,0,0,0,0,0,27,22
Colin Miller,DAL,D,77,6,15,21,23,37,102,3,1,0,0,0,108,70
Adam Pelech,NYI,D,60,6,14,20,15,36,94,0,0,0,0,1,75,109
Phil Di Giuseppe,VAN,LW,28,6,4,10,-1,14,67,0,0,0,0,1,50,7
Mark Jankowski,NSH,C,48,6,5,11,-2,18,52,3,0,0,2,0,44,31
Olli Maatta,DET,D,76,6,17,23,-6,14,60,0,0,0,0,0,75,124
Travis Hamonic,OTT,D,75,6,15,21,-5,71,136,1,0,1,0,3,109,143
Casey Cizikas,NYI,C,80,6,15,21,0,54,109,0,0,0,0,2,186,58
Jani Hakanpaa,DAL,D,80,6,10,16,18,60,85,1,0,0,0,0,218,127
Cal Clutterbuck,NYI,RW,48,6,6,12,9,30,43,1,0,0,0,0,190,32
Michael Stone,CGY,D,47,6,5,11,3,35,88,1,0,2,0,0,52,55
Devon Toews,COL,D,77,6,41,47,38,20,157,0,1,5,0,0,91,135
Oskar Lindblom,SJ,LW,73,6,9,15,-16,18,75,0,0,1,0,0,64,24
Tomas Nosek,BOS,LW,65,6,10,16,7,48,68,0,0,0,2,0,69,31
Brett Howden,VGK,C,53,6,7,13,5,55,51,0,0,0,0,0,105,33
Samuel Girard,COL,D,73,6,30,36,-13,16,114,1,1,7,0,1,64,115
Nathan Bastian,NJ,RW,41,6,6,12,5,31,61,1,0,0,0,0,95,37
Joey Anderson,CHI,RW,36,6,3,9,-7,0,40,1,0,0,0,0,33,17
Jordan Greenway,BUF,LW,59,6,5,11,-4,26,93,0,0,0,0,0,102,37
Vladislav Gavrikov,LA,D,71,6,13,19,3,38,89,2,0,0,1,1,73,114
Jalen Chatfield,CAR,D,76,6,8,14,22,35,88,2,0,0,1,1,77,61
Dylan Guenther,ARI,RW,33,6,9,15,-7,10,53,1,4,2,0,0,18,11
Luke Evangelista,NSH,RW,22,6,7,13,7,6,50,1,0,2,0,0,8,5
Connor Dewar,MIN,C,79,6,12,18,-3,50,82,0,0,0,3,1,123,49
Martin Fehervary,WAS,D,65,6,10,16,-10,31,85,1,0,0,0,0,209,119
Nils Lundkvist,DAL,D,60,6,10,16,-5,26,94,2,1,2,0,0,49,67
Rasmus Sandin,WAS,D,69,6,28,34,4,30,75,0,0,11,0,0,135,82
Jesse Ylonen,MON,LW,37,6,10,16,-11,0,43,1,1,0,0,0,14,28
Jake Neighbours,STL,LW,41,6,4,10,-18,22,51,1,1,1,0,0,59,18
Brett Leason,ANH,RW,54,6,3,9,-21,14,51,1,0,0,0,0,35,18
